description,category
il semble que le système ne répond pas depuis ce matin.,Software
"j'ai un problème, le raccord fait un bruit de gargouillis complètement.",Hydraulique
"j'ai un problème, le image est cassé complètement.",Optique
"J'ai un problème, le viseur ne fait plus le point complètement.",Optique
"impossible d'utiliser la machine, le fusible fume.",Electronique
Le résistance est en court-circuit.,Electronique
le image est déformé.,Optique
Il semble que le mise à jour renvoie une erreur 404 depuis ce matin.,Software
"Gros souci avec le interface, il a crashé.",Software
"Impossible d'utiliser la machine, le prisme ne fait plus le point.",Optique
"Gros souci avec le pompe, il refoule du liquide.",Hydraulique
"j'ai un problème, le pompe siffle fort complètement.",Hydraulique
Le condensateur a grillé.,Electronique
le client signale que le tuyau perd de la pression.,Hydraulique
Le client signale que le lentille manque de netteté.,Optique
Défaut sur raccord : il n'aspire plus.,Hydraulique
Il semble que le miroir est flou depuis ce matin.,Optique
"impossible d'utiliser la machine, le base de données renvoie une erreur 404.",Software
"Attention, lentille qui a des taches !",Optique
"Attention, driver qui demande un mot de passe !",Software
Le lentille est bloqué.,Optique
"Attention, pompe qui refoule du liquide !",Hydraulique
Le zoom est flou.,Optique
"Gros souci avec le joint, il est sec.",Hydraulique
"Attention, bouton power qui ne s'allume plus !",Electronique
panne critique : transformateur a fondu.,Electronique
Le base de données est corrompu.,Software
erreur détectée : carte mère ne charge pas.,Electronique
Le client signale que le diaphragme est rayé.,Optique
il semble que le batterie est brûlant depuis ce matin.,Electronique
"impossible d'utiliser la machine, le driver a expiré.",Software
le client signale que le obturateur est bloqué.,Optique
Le client signale que le réservoir est sec.,Hydraulique
défaut sur écran : il est brûlant.,Electronique
Panne critique : raccord fait un bruit de gargouillis.,Hydraulique
le miroir a de la poussière interne.,Optique
"J'ai un problème, le raccord siffle fort complètement.",Hydraulique
"Impossible d'utiliser la machine, le vanne fait un bruit de gargouillis.",Hydraulique
Le client signale que le alimentation est en court-circuit.,Electronique
"J'ai un problème, le mise à jour ne répond pas complètement.",Software
le client signale que le circuit imprimé est brûlant.,Electronique
erreur détectée : objectif est rayé.,Optique
Erreur détectée : interface boucle à l'infini.,Software
"Gros souci avec le résistance, il est brûlant.",Electronique
Il semble que le tuyau fait un bruit de gargouillis depuis ce matin.,Hydraulique
"gros souci avec le obturateur, il est bloqué.",Optique
"j'ai un problème, le base de données ne démarre pas complètement.",Software
"Gros souci avec le alimentation, il est en court-circuit.",Electronique
"impossible d'utiliser la machine, le obturateur est déformé.",Optique
"attention, câble usb qui est en court-circuit !",Electronique
panne critique : prisme est déformé.,Optique
Défaut sur zoom : il a des taches.,Optique
"Attention, réservoir qui a éclaté !",Hydraulique
Le client signale que le driver demande un mot de passe.,Software
erreur détectée : interface affiche un écran bleu.,Software
panne critique : circuit d'huile est bouché.,Hydraulique
Panne critique : viseur ne fait plus le point.,Optique
Le logiciel est corrompu.,Software
il semble que le vérin siffle fort depuis ce matin.,Hydraulique
Il semble que le piston n'aspire plus depuis ce matin.,Hydraulique
"gros souci avec le objectif, il a de la poussière interne.",Optique
Le écran sent le brûlé.,Electronique
Erreur détectée : résistance ne charge pas.,Electronique
"Impossible d'utiliser la machine, le capteur est déformé.",Optique
"Gros souci avec le obturateur, il a de la poussière interne.",Optique
"Impossible d'utiliser la machine, le connexion demande un mot de passe.",Software
Le client signale que le prisme est désaligné.,Optique
Le windows ne démarre pas.,Software
il semble que le condensateur a grillé depuis ce matin.,Electronique
Il semble que le circuit imprimé ne répond plus depuis ce matin.,Electronique
"attention, logiciel qui boucle à l'infini !",Software
"Gros souci avec le image, il manque de netteté.",Optique
Il semble que le base de données renvoie une erreur 404 depuis ce matin.,Software
Il semble que le interface ne répond pas depuis ce matin.,Software
"Attention, obturateur qui est rayé !",Optique
Erreur détectée : écran sent le brûlé.,Electronique
"attention, filtre qui est percé !",Hydraulique
"Impossible d'utiliser la machine, le pompe fuit.",Hydraulique
"impossible d'utiliser la machine, le licence a crashé.",Software
"impossible d'utiliser la machine, le lentille est cassé.",Optique
"gros souci avec le mise à jour, il ne démarre pas.",Software
Le client signale que le lentille est cassé.,Optique
le client signale que le capteur est déformé.,Optique
défaut sur diaphragme : il est sale.,Optique
"Attention, manomètre qui siffle fort !",Hydraulique
Panne critique : carte mère fume.,Electronique
Le client signale que le prisme est désaligné.,Optique
"J'ai un problème, le connexion ne démarre pas complètement.",Software
"j'ai un problème, le interface est corrompu complètement.",Software
Le connecteur de charge fume.,Electronique
"Impossible d'utiliser la machine, le circuit d'huile fait un bruit de gargouillis.",Hydraulique
Panne critique : obturateur est désaligné.,Optique
le client signale que le écran sent le brûlé.,Electronique
"attention, circuit imprimé qui a grillé !",Electronique
"J'ai un problème, le écran a explosé complètement.",Electronique
le client signale que le circuit imprimé fait des étincelles.,Electronique
"attention, objectif qui a des taches !",Optique
panne critique : vérin perd de la pression.,Hydraulique
Défaut sur LED : il ne s'allume plus.,Electronique
Le client signale que le logiciel renvoie une erreur 404.,Software
le client signale que le transformateur fume.,Electronique
défaut sur windows : il ne démarre pas.,Software
Erreur détectée : windows affiche un écran bleu.,Software
"gros souci avec le focus, il a de la poussière interne.",Optique
Le focus a des taches.,Optique
il semble que le réservoir est grippé depuis ce matin.,Hydraulique
"attention, zoom qui est déformé !",Optique
Défaut sur obturateur : il manque de netteté.,Optique
"Attention, connecteur de charge qui a fondu !",Electronique
Défaut sur écran : il ne charge pas.,Electronique
le raccord est grippé.,Hydraulique
Erreur détectée : connecteur de charge clignote en rouge.,Electronique
défaut sur circuit d'huile : il fuit.,Hydraulique
Il semble que le viseur est cassé depuis ce matin.,Optique
le client signale que le joint siffle fort.,Hydraulique
"Impossible d'utiliser la machine, le carte mère a fondu.",Electronique
erreur détectée : logiciel a expiré.,Software
défaut sur filtre : il n'aspire plus.,Hydraulique
"J'ai un problème, le objectif est rayé complètement.",Optique
défaut sur connexion : il demande un mot de passe.,Software
Erreur détectée : écran clignote en rouge.,Electronique
il semble que le bouton power ne charge pas depuis ce matin.,Electronique
"Impossible d'utiliser la machine, le prisme a des taches.",Optique
Le valve n'aspire plus.,Hydraulique
Le LED est brûlant.,Electronique
"j'ai un problème, le réservoir est percé complètement.",Hydraulique
"J'ai un problème, le joint fait un bruit de gargouillis complètement.",Hydraulique
panne critique : câble usb clignote en rouge.,Electronique
erreur détectée : miroir est flou.,Optique
"Attention, logiciel qui ne démarre pas !",Software
Il semble que le résistance est brûlant depuis ce matin.,Electronique
panne critique : fusible est en court-circuit.,Electronique
"Gros souci avec le serveur, il est figé.",Software
"gros souci avec le connecteur de charge, il est brûlant.",Electronique
"gros souci avec le licence, il est figé.",Software
"gros souci avec le vanne, il fait un bruit de gargouillis.",Hydraulique
panne critique : logiciel boucle à l'infini.,Software
le bouton power surchauffe.,Electronique
"gros souci avec le mise à jour, il boucle à l'infini.",Software
le fusible ne charge pas.,Electronique
"j'ai un problème, le bouton power clignote en rouge complètement.",Electronique
Il semble que le LED est noirci depuis ce matin.,Electronique
Il semble que le joint n'aspire plus depuis ce matin.,Hydraulique
erreur détectée : connexion a expiré.,Software
Défaut sur circuit d'huile : il fuit.,Hydraulique
"J'ai un problème, le joint refoule du liquide complètement.",Hydraulique
le raccord vibre énormément.,Hydraulique
Panne critique : filtre est grippé.,Hydraulique
le alimentation ne répond plus.,Electronique
Erreur détectée : carte mère ne s'allume plus.,Electronique
"J'ai un problème, le connecteur de charge ne charge pas complètement.",Electronique
Défaut sur filtre : il siffle fort.,Hydraulique
"gros souci avec le zoom, il est bloqué.",Optique
"J'ai un problème, le circuit imprimé est noirci complètement.",Electronique
"impossible d'utiliser la machine, le carte mère a explosé.",Electronique
"J'ai un problème, le logiciel a expiré complètement.",Software
"j'ai un problème, le mise au point ne fait plus le point complètement.",Optique
"attention, manomètre qui a éclaté !",Hydraulique
"Attention, driver qui est figé !",Software
"J'ai un problème, le prisme est voilé complètement.",Optique
"Gros souci avec le licence, il ne démarre pas.",Software
"attention, mise à jour qui a expiré !",Software
le connexion ne démarre pas.,Software
erreur détectée : circuit d'huile est bouché.,Hydraulique
Défaut sur miroir : il est désaligné.,Optique
"j'ai un problème, le circuit d'huile fuit complètement.",Hydraulique
panne critique : driver est corrompu.,Software
Défaut sur vanne : il a éclaté.,Hydraulique
défaut sur licence : il demande un mot de passe.,Software
il semble que le joint n'aspire plus depuis ce matin.,Hydraulique
défaut sur pompe : il est bouché.,Hydraulique
"attention, viseur qui est voilé !",Optique
le client signale que le résistance ne s'allume plus.,Electronique
Défaut sur zoom : il est rayé.,Optique
"attention, réservoir qui est sec !",Hydraulique
le connexion a crashé.,Software
il semble que le base de données boucle à l'infini depuis ce matin.,Software
Le focus est déformé.,Optique
Panne critique : focus a de la poussière interne.,Optique
"Gros souci avec le interface, il est figé.",Software
Le client signale que le mise à jour a crashé.,Software
Le vérin refoule du liquide.,Hydraulique
"J'ai un problème, le zoom a des taches complètement.",Optique
erreur détectée : linux a expiré.,Software
"gros souci avec le valve, il est grippé.",Hydraulique
erreur détectée : linux a crashé.,Software
"attention, diaphragme qui a de la poussière interne !",Optique
"Attention, fusible qui ne s'allume plus !",Electronique
erreur détectée : alimentation est en court-circuit.,Electronique
"Gros souci avec le obturateur, il est désaligné.",Optique
le client signale que le raccord refoule du liquide.,Hydraulique
le client signale que le interface est figé.,Software
le obturateur est bloqué.,Optique
"gros souci avec le interface, il a crashé.",Software
Il semble que le focus est rayé depuis ce matin.,Optique
panne critique : résistance fait des étincelles.,Electronique
Erreur détectée : réservoir est bouché.,Hydraulique
panne critique : alimentation est noirci.,Electronique
"Attention, condensateur qui ne s'allume plus !",Electronique
Le client signale que le base de données demande un mot de passe.,Software
"gros souci avec le carte mère, il a grillé.",Electronique
Le client signale que le vérin perd de la pression.,Hydraulique
Défaut sur valve : il est percé.,Hydraulique
"attention, système qui est figé !",Software
Il semble que le circuit d'huile siffle fort depuis ce matin.,Hydraulique
Le LED est brûlant.,Electronique
Erreur détectée : viseur est cassé.,Optique
défaut sur focus : il est flou.,Optique
"gros souci avec le miroir, il a de la poussière interne.",Optique
Erreur détectée : miroir est rayé.,Optique
"attention, résistance qui a fondu !",Electronique
"J'ai un problème, le transformateur est brûlant complètement.",Electronique
"Impossible d'utiliser la machine, le manomètre vibre énormément.",Hydraulique
il semble que le vérin est bouché depuis ce matin.,Hydraulique
"Gros souci avec le circuit d'huile, il perd de la pression.",Hydraulique
erreur détectée : connecteur de charge est noirci.,Electronique
Le client signale que le tuyau fuit.,Hydraulique
Panne critique : disjoncteur clignote en rouge.,Electronique
"J'ai un problème, le condensateur est noirci complètement.",Electronique
"J'ai un problème, le application ne répond pas complètement.",Software
"J'ai un problème, le serveur boucle à l'infini complètement.",Software
Le client signale que le objectif est flou.,Optique
le réservoir fuit.,Hydraulique
il semble que le image est désaligné depuis ce matin.,Optique
Le client signale que le transformateur clignote en rouge.,Electronique
Il semble que le fusible a fondu depuis ce matin.,Electronique
Erreur détectée : pompe est sec.,Hydraulique
Le client signale que le valve est sec.,Hydraulique
"Impossible d'utiliser la machine, le alimentation clignote en rouge.",Electronique
Panne critique : piston vibre énormément.,Hydraulique
"j'ai un problème, le écran est noirci complètement.",Electronique
"Attention, système qui est lent !",Software
Panne critique : réservoir refoule du liquide.,Hydraulique
"j'ai un problème, le connecteur de charge est brûlant complètement.",Electronique
Panne critique : interface est corrompu.,Software
"Attention, miroir qui est désaligné !",Optique
Il semble que le connecteur de charge ne répond plus depuis ce matin.,Electronique
Erreur détectée : circuit d'huile fuit.,Hydraulique
Il semble que le mise au point est voilé depuis ce matin.,Optique
défaut sur résistance : il a explosé.,Electronique
Le carte mère ne s'allume plus.,Electronique
"Attention, mise à jour qui est corrompu !",Software
Le interface a crashé.,Software
"j'ai un problème, le piston vibre énormément complètement.",Hydraulique
panne critique : disjoncteur ne s'allume plus.,Electronique
"Gros souci avec le piston, il est percé.",Hydraulique
"gros souci avec le pompe, il est sec.",Hydraulique
"gros souci avec le image, il est voilé.",Optique
panne critique : application demande un mot de passe.,Software
Défaut sur valve : il fait un bruit de gargouillis.,Hydraulique
"J'ai un problème, le focus est bloqué complètement.",Optique
Le client signale que le câble USB a grillé.,Electronique
le linux est figé.,Software
il semble que le mise à jour renvoie une erreur 404 depuis ce matin.,Software
Panne critique : connexion affiche un écran bleu.,Software
"Gros souci avec le viseur, il est rayé.",Optique
"Impossible d'utiliser la machine, le objectif est voilé.",Optique
Défaut sur zoom : il est cassé.,Optique
Défaut sur disjoncteur : il est noirci.,Electronique
"gros souci avec le alimentation, il clignote en rouge.",Electronique
le client signale que le focus est flou.,Optique
Le filtre vibre énormément.,Hydraulique
"gros souci avec le focus, il ne fait plus le point.",Optique
"j'ai un problème, le serveur boucle à l'infini complètement.",Software
Panne critique : obturateur a des taches.,Optique
défaut sur windows : il affiche un écran bleu.,Software
"J'ai un problème, le viseur est cassé complètement.",Optique
"attention, lentille qui est cassé !",Optique
le valve siffle fort.,Hydraulique
"j'ai un problème, le prisme est cassé complètement.",Optique
Erreur détectée : fusible a fondu.,Electronique
"j'ai un problème, le viseur ne fait plus le point complètement.",Optique
"Gros souci avec le valve, il est bouché.",Hydraulique
défaut sur objectif : il a de la poussière interne.,Optique
Défaut sur pompe : il est grippé.,Hydraulique
"Attention, condensateur qui a grillé !",Electronique
le manomètre refoule du liquide.,Hydraulique
Il semble que le fusible ne répond plus depuis ce matin.,Electronique
"attention, vanne qui refoule du liquide !",Hydraulique
Erreur détectée : capteur est voilé.,Optique
le circuit d'huile est bouché.,Hydraulique
Défaut sur raccord : il fait un bruit de gargouillis.,Hydraulique
Il semble que le focus manque de netteté depuis ce matin.,Optique
le client signale que le zoom a des taches.,Optique
"j'ai un problème, le mise à jour a crashé complètement.",Software
"gros souci avec le objectif, il a de la poussière interne.",Optique
"Gros souci avec le capteur, il est sale.",Optique
"attention, mise à jour qui est corrompu !",Software
"attention, connecteur de charge qui est noirci !",Electronique
"attention, windows qui boucle à l'infini !",Software
le piston n'aspire plus.,Hydraulique
défaut sur circuit imprimé : il a grillé.,Electronique
Le carte mère ne charge pas.,Electronique
Le écran ne répond plus.,Electronique
Défaut sur prisme : il ne fait plus le point.,Optique
Panne critique : carte mère fume.,Electronique
le connexion demande un mot de passe.,Software
erreur détectée : filtre est grippé.,Hydraulique
"J'ai un problème, le mise au point manque de netteté complètement.",Optique
Défaut sur filtre : il a éclaté.,Hydraulique
"Gros souci avec le connecteur de charge, il est brûlant.",Electronique
il semble que le batterie clignote en rouge depuis ce matin.,Electronique
erreur détectée : tuyau n'aspire plus.,Hydraulique
panne critique : fusible a grillé.,Electronique
erreur détectée : fusible est en court-circuit.,Electronique
Il semble que le interface a crashé depuis ce matin.,Software
Panne critique : serveur ne répond pas.,Software
Le client signale que le connecteur de charge est en court-circuit.,Electronique
"Impossible d'utiliser la machine, le résistance ne charge pas.",Electronique
"gros souci avec le miroir, il est cassé.",Optique
erreur détectée : résistance a fondu.,Electronique
"j'ai un problème, le application affiche un écran bleu complètement.",Software
erreur détectée : carte mère a grillé.,Electronique
"J'ai un problème, le disjoncteur ne s'allume plus complètement.",Electronique
"Impossible d'utiliser la machine, le serveur affiche un écran bleu.",Software
le client signale que le connexion ne répond pas.,Software
"impossible d'utiliser la machine, le raccord est sec.",Hydraulique
"gros souci avec le filtre, il est sec.",Hydraulique
"j'ai un problème, le vanne est percé complètement.",Hydraulique
"Impossible d'utiliser la machine, le LED a fondu.",Electronique
"impossible d'utiliser la machine, le objectif est sale.",Optique
Défaut sur zoom : il est cassé.,Optique
"Impossible d'utiliser la machine, le zoom est rayé.",Optique
"impossible d'utiliser la machine, le base de données a planté.",Software
le led ne s'allume plus.,Electronique
"impossible d'utiliser la machine, le lentille a des taches.",Optique
erreur détectée : bouton power a grillé.,Electronique
Erreur détectée : batterie ne répond plus.,Electronique
"impossible d'utiliser la machine, le raccord fait un bruit de gargouillis.",Hydraulique
le écran a explosé.,Electronique
"attention, prisme qui est sale !",Optique
"Impossible d'utiliser la machine, le fusible a explosé.",Electronique
Il semble que le diaphragme est cassé depuis ce matin.,Optique
"Gros souci avec le joint, il a éclaté.",Hydraulique
Le linux est figé.,Software
Le client signale que le joint est bouché.,Hydraulique
"attention, prisme qui est sale !",Optique
"Gros souci avec le câble USB, il est brûlant.",Electronique
Panne critique : connexion ne démarre pas.,Software
Il semble que le focus est déformé depuis ce matin.,Optique
"Attention, obturateur qui est sale !",Optique
Défaut sur circuit imprimé : il a grillé.,Electronique
"impossible d'utiliser la machine, le obturateur est déformé.",Optique
panne critique : joint siffle fort.,Hydraulique
Panne critique : fusible surchauffe.,Electronique
le vérin n'aspire plus.,Hydraulique
panne critique : circuit d'huile fait un bruit de gargouillis.,Hydraulique
"impossible d'utiliser la machine, le driver est figé.",Software
Défaut sur viseur : il est désaligné.,Optique
"impossible d'utiliser la machine, le objectif manque de netteté.",Optique
Défaut sur logiciel : il affiche un écran bleu.,Software
"j'ai un problème, le connexion demande un mot de passe complètement.",Software
panne critique : système est figé.,Software
"attention, mise au point qui est flou !",Optique
Erreur détectée : LED fume.,Electronique
"attention, interface qui a crashé !",Software
Défaut sur windows : il ne démarre pas.,Software
Le condensateur est en court-circuit.,Electronique
"gros souci avec le circuit d'huile, il refoule du liquide.",Hydraulique
erreur détectée : driver affiche un écran bleu.,Software
Il semble que le base de données ne démarre pas depuis ce matin.,Software
"gros souci avec le connecteur de charge, il clignote en rouge.",Electronique
Le client signale que le système ne démarre pas.,Software
il semble que le condensateur a explosé depuis ce matin.,Electronique
Il semble que le condensateur a fondu depuis ce matin.,Electronique
"j'ai un problème, le mise à jour est lent complètement.",Software
"j'ai un problème, le filtre n'aspire plus complètement.",Hydraulique
"Gros souci avec le connexion, il ne démarre pas.",Software
erreur détectée : base de données a crashé.,Software
"attention, connexion qui a planté !",Software
erreur détectée : bouton power est en court-circuit.,Electronique
"attention, piston qui a éclaté !",Hydraulique
"attention, licence qui est figé !",Software
"impossible d'utiliser la machine, le réservoir a éclaté.",Hydraulique
Il semble que le tuyau est bouché depuis ce matin.,Hydraulique
erreur détectée : système a expiré.,Software
"j'ai un problème, le joint est grippé complètement.",Hydraulique
défaut sur disjoncteur : il est brûlant.,Electronique
"gros souci avec le obturateur, il est flou.",Optique
Erreur détectée : alimentation fait des étincelles.,Electronique
panne critique : miroir est déformé.,Optique
le client signale que le windows renvoie une erreur 404.,Software
défaut sur vérin : il siffle fort.,Hydraulique
"gros souci avec le vérin, il perd de la pression.",Hydraulique
Défaut sur réservoir : il fait un bruit de gargouillis.,Hydraulique
panne critique : image est rayé.,Optique
Panne critique : objectif ne fait plus le point.,Optique
"J'ai un problème, le linux ne répond pas complètement.",Software
Erreur détectée : objectif ne fait plus le point.,Optique
Le logiciel boucle à l'infini.,Software
erreur détectée : filtre est sec.,Hydraulique
"impossible d'utiliser la machine, le application a expiré.",Software
Le client signale que le circuit imprimé surchauffe.,Electronique
défaut sur condensateur : il a fondu.,Electronique
"attention, zoom qui est rayé !",Optique
"Impossible d'utiliser la machine, le raccord est sec.",Hydraulique
Il semble que le prisme est rayé depuis ce matin.,Optique
erreur détectée : piston n'aspire plus.,Hydraulique
défaut sur circuit d'huile : il a éclaté.,Hydraulique
Le licence est corrompu.,Software
Panne critique : carte mère ne charge pas.,Electronique
Il semble que le linux renvoie une erreur 404 depuis ce matin.,Software
erreur détectée : image a des taches.,Optique
le système a expiré.,Software
erreur détectée : objectif est flou.,Optique
défaut sur carte mère : il a fondu.,Electronique
"impossible d'utiliser la machine, le miroir ne fait plus le point.",Optique
"j'ai un problème, le windows est lent complètement.",Software
panne critique : batterie clignote en rouge.,Electronique
"Impossible d'utiliser la machine, le système a planté.",Software
"attention, valve qui est sec !",Hydraulique
défaut sur mise à jour : il a crashé.,Software
Panne critique : transformateur est noirci.,Electronique
Le câble USB ne s'allume plus.,Electronique
le logiciel a expiré.,Software
il semble que le filtre est percé depuis ce matin.,Hydraulique
"J'ai un problème, le filtre fait un bruit de gargouillis complètement.",Hydraulique
"j'ai un problème, le filtre est grippé complètement.",Hydraulique
"attention, circuit imprimé qui est brûlant !",Electronique
Défaut sur lentille : il a des taches.,Optique
"Gros souci avec le diaphragme, il est déformé.",Optique
panne critique : pompe a éclaté.,Hydraulique
"Gros souci avec le manomètre, il siffle fort.",Hydraulique
"Gros souci avec le focus, il manque de netteté.",Optique
Erreur détectée : driver a planté.,Software
il semble que le application a expiré depuis ce matin.,Software
Le condensateur fait des étincelles.,Electronique
défaut sur viseur : il manque de netteté.,Optique
Le base de données a expiré.,Software
erreur détectée : licence a expiré.,Software
"attention, disjoncteur qui surchauffe !",Electronique
"j'ai un problème, le logiciel a expiré complètement.",Software
Défaut sur raccord : il est grippé.,Hydraulique
Erreur détectée : bouton power ne s'allume plus.,Electronique
Il semble que le vanne est grippé depuis ce matin.,Hydraulique
"Attention, linux qui demande un mot de passe !",Software
"Impossible d'utiliser la machine, le image est désaligné.",Optique
"gros souci avec le connexion, il est figé.",Software
"gros souci avec le windows, il boucle à l'infini.",Software
Le condensateur fait des étincelles.,Electronique
"j'ai un problème, le joint est bouché complètement.",Hydraulique
le client signale que le piston fuit.,Hydraulique
le client signale que le base de données a crashé.,Software
Le client signale que le interface ne démarre pas.,Software
"j'ai un problème, le filtre est bouché complètement.",Hydraulique
le client signale que le câble usb clignote en rouge.,Electronique
Il semble que le viseur est sale depuis ce matin.,Optique
Défaut sur tuyau : il a éclaté.,Hydraulique
"Attention, connecteur de charge qui ne s'allume plus !",Electronique
Erreur détectée : serveur a crashé.,Software
"Attention, viseur qui est cassé !",Optique
le client signale que le linux boucle à l'infini.,Software
"attention, focus qui est flou !",Optique
"Impossible d'utiliser la machine, le logiciel a crashé.",Software
"Gros souci avec le viseur, il est sale.",Optique
le condensateur a grillé.,Electronique
le client signale que le image ne fait plus le point.,Optique
"Impossible d'utiliser la machine, le mise à jour est figé.",Software
il semble que le licence demande un mot de passe depuis ce matin.,Software
"Impossible d'utiliser la machine, le tuyau perd de la pression.",Hydraulique
"Gros souci avec le windows, il ne démarre pas.",Software
Erreur détectée : logiciel est figé.,Software
il semble que le application ne démarre pas depuis ce matin.,Software
"attention, connexion qui ne démarre pas !",Software
Le joint est bouché.,Hydraulique
le client signale que le résistance clignote en rouge.,Electronique
Erreur détectée : mise à jour est corrompu.,Software
"gros souci avec le connecteur de charge, il fume.",Electronique
le client signale que le tuyau est percé.,Hydraulique
défaut sur serveur : il est lent.,Software
"J'ai un problème, le image est voilé complètement.",Optique
le mise à jour boucle à l'infini.,Software
le valve est sec.,Hydraulique
Il semble que le windows renvoie une erreur 404 depuis ce matin.,Software
Erreur détectée : driver a planté.,Software
panne critique : raccord refoule du liquide.,Hydraulique
Défaut sur viseur : il est cassé.,Optique
"Gros souci avec le serveur, il est lent.",Software
défaut sur diaphragme : il est flou.,Optique
"gros souci avec le circuit imprimé, il fait des étincelles.",Electronique
Le miroir est flou.,Optique
Le focus est bloqué.,Optique
"Gros souci avec le résistance, il sent le brûlé.",Electronique
erreur détectée : alimentation fait des étincelles.,Electronique
Erreur détectée : résistance est brûlant.,Electronique
"Impossible d'utiliser la machine, le résistance est noirci.",Electronique
"Impossible d'utiliser la machine, le licence ne démarre pas.",Software
Le client signale que le tuyau a éclaté.,Hydraulique
"Gros souci avec le miroir, il manque de netteté.",Optique
erreur détectée : lentille ne fait plus le point.,Optique
défaut sur base de données : il a expiré.,Software
Panne critique : prisme est rayé.,Optique
Le condensateur ne répond plus.,Electronique
"j'ai un problème, le batterie est noirci complètement.",Electronique
"Attention, diaphragme qui est cassé !",Optique
Panne critique : logiciel demande un mot de passe.,Software
"Impossible d'utiliser la machine, le connecteur de charge a fondu.",Electronique
Erreur détectée : écran clignote en rouge.,Electronique
le zoom est voilé.,Optique
il semble que le logiciel ne répond pas depuis ce matin.,Software
Le client signale que le valve siffle fort.,Hydraulique
il semble que le zoom est sale depuis ce matin.,Optique
Défaut sur logiciel : il a crashé.,Software
"Impossible d'utiliser la machine, le réservoir est grippé.",Hydraulique
le piston vibre énormément.,Hydraulique
Défaut sur prisme : il est voilé.,Optique
"J'ai un problème, le connecteur de charge a grillé complètement.",Electronique
Le condensateur est brûlant.,Electronique
Défaut sur LED : il est en court-circuit.,Electronique
Défaut sur connexion : il affiche un écran bleu.,Software
"J'ai un problème, le tuyau perd de la pression complètement.",Hydraulique
"Attention, serveur qui a crashé !",Software
panne critique : câble usb fume.,Electronique
"Gros souci avec le viseur, il est bloqué.",Optique
"attention, objectif qui est voilé !",Optique
"attention, objectif qui a de la poussière interne !",Optique
Il semble que le capteur ne fait plus le point depuis ce matin.,Optique
défaut sur lentille : il est bloqué.,Optique
"J'ai un problème, le condensateur est brûlant complètement.",Electronique
Défaut sur capteur : il est rayé.,Optique
"j'ai un problème, le connecteur de charge est noirci complètement.",Electronique
"J'ai un problème, le mise au point est rayé complètement.",Optique
"J'ai un problème, le valve est percé complètement.",Hydraulique
"gros souci avec le réservoir, il est grippé.",Hydraulique
"Attention, système qui est figé !",Software
le client signale que le connexion demande un mot de passe.,Software
le carte mère a fondu.,Electronique
"gros souci avec le serveur, il est corrompu.",Software
Le client signale que le câble USB clignote en rouge.,Electronique
Le objectif est cassé.,Optique
"Attention, filtre qui vibre énormément !",Hydraulique
"attention, capteur qui est bloqué !",Optique
"attention, tuyau qui est sec !",Hydraulique
le client signale que le lentille est cassé.,Optique
Défaut sur objectif : il a de la poussière interne.,Optique
Il semble que le connexion demande un mot de passe depuis ce matin.,Software
le disjoncteur a explosé.,Electronique
Il semble que le transformateur clignote en rouge depuis ce matin.,Electronique
il semble que le windows a crashé depuis ce matin.,Software
le client signale que le alimentation est noirci.,Electronique
"Attention, écran qui sent le brûlé !",Electronique
erreur détectée : miroir est bloqué.,Optique
Panne critique : focus a des taches.,Optique
"J'ai un problème, le raccord est grippé complètement.",Hydraulique
Défaut sur alimentation : il a fondu.,Electronique
Il semble que le vérin perd de la pression depuis ce matin.,Hydraulique
Le joint n'aspire plus.,Hydraulique
"j'ai un problème, le logiciel est figé complètement.",Software
Il semble que le zoom est cassé depuis ce matin.,Optique
"j'ai un problème, le lentille est sale complètement.",Optique
panne critique : mise au point est voilé.,Optique
"attention, focus qui est cassé !",Optique
Erreur détectée : serveur a expiré.,Software
le raccord est percé.,Hydraulique
erreur détectée : piston n'aspire plus.,Hydraulique
Défaut sur vanne : il vibre énormément.,Hydraulique
erreur détectée : vanne est grippé.,Hydraulique
Le manomètre vibre énormément.,Hydraulique
Le application est corrompu.,Software
"Attention, carte mère qui a explosé !",Electronique
"Attention, condensateur qui fait des étincelles !",Electronique
panne critique : joint n'aspire plus.,Hydraulique
erreur détectée : vérin siffle fort.,Hydraulique
il semble que le connecteur de charge sent le brûlé depuis ce matin.,Electronique
"Impossible d'utiliser la machine, le batterie a fondu.",Electronique
Défaut sur piston : il siffle fort.,Hydraulique
"attention, viseur qui est désaligné !",Optique
Défaut sur base de données : il a crashé.,Software
"Impossible d'utiliser la machine, le linux est figé.",Software
panne critique : résistance a explosé.,Electronique
panne critique : condensateur a explosé.,Electronique
erreur détectée : zoom est cassé.,Optique
Le diaphragme est flou.,Optique
"J'ai un problème, le connexion a crashé complètement.",Software
panne critique : écran a explosé.,Electronique
"attention, batterie qui ne répond plus !",Electronique
le raccord vibre énormément.,Hydraulique
"J'ai un problème, le LED fait des étincelles complètement.",Electronique
le vérin n'aspire plus.,Hydraulique
Il semble que le linux a expiré depuis ce matin.,Software
Il semble que le diaphragme est rayé depuis ce matin.,Optique
"Attention, piston qui a éclaté !",Hydraulique
"J'ai un problème, le vanne perd de la pression complètement.",Hydraulique
"Impossible d'utiliser la machine, le câble USB sent le brûlé.",Electronique
"J'ai un problème, le câble USB a grillé complètement.",Electronique
